cadence,eyeMoveBigHorizontal,focus,numBlinks,sleepy
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,1,2
0,1.052632,2,6.31579,1
0,0,3,8.275862,1
0,0,3,0,2
0,0,2,1,2
0,0,2,6.101695,1
0,0,2,3,1
0,0,2,6,1
0,1,2,7,1
0,0,2,18.30508,1
0,0,2,9,1
0,0,2,12,1
0,3,2,31,3
0,2,2,7,3
0,1.071429,1,10.71429,3
0,0,2,9,2
0,0,2,20.68966,2
0,0,1,24,2
0,0,2,16,2
0,0,1,17,3
0,1,1,30,3
0,0,1,22,2
0,1,2,13,2
0,0,2,17.28814,1
0,0,2,19.32203,1
0,2,3,8,1
0,0,2,1,1
0,5.555555,3,7.777778,1
0,9.310345,2,13.44828,1
0,0,2,1.052632,1
0,0,2,0,1
0,2,2,4,1
0,0,2,3,1
0,0,2,1,1
0,0,2,3,1
0,0,2,1,1
0,0,2,0,1
0,0,0,0,0
0,0,2,1,1
0,0,2,0,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,3,9,3
0,1.071429,3,0,3
0,0,2,2,3
0,0,2,0,1
0,1,2,2,1
0,0,2,1,1
0,0,2,0,1
0,0,0,0,0
0,0,2,1.052632,2
0,0,2,0,1
0,0,2,1,1
0,0,2,1,1
0,0,0,0,0
0,0,2,4,1
0,0,2,2,1
0,2,2,0,1
0,1,2,1,1
0,1.034483,2,2.068965,1
0,0,1,9.818181,1
0,1.052632,1,15.78947,1
0,0,3,7.241379,1
0,0,3,6,1
0,0,2,4,1
0,1,1,10,1
0,0,2,6,1
0,1,2,7,1
0,1,2,6,1
0,0,2,5,1
0,2,2,4,1
0,0,2,6,1
0,2,2,4,1
0,0,2,2,1
0,0,2,0,1
0,0,0,0,0
0,0,2,1,1
0,0,2,0,1
0,1.111111,2,1.111111,1
0,2,2,3,1
0,3.272727,1,12,1
0,1,1,0,1
0,4,2,2,1
0,3.157895,2,3.157895,1
0,1,2,4,1
0,2,2,1,1
0,1.052632,3,8.421053,1
0,1,2,3,1
0,2,2,4,1
0,2.105263,2,10.52632,1
0,1,3,7,3
0,1,1,11,1
0,1,2,4,1
0,1,2,4,1
0,0,2,0,1
0,2,2,7,1
0,7,2,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,3,7,1
0,0,2,5.882353,1
0,1.052632,2,5.263158,1
0,1.111111,2,25.55556,2
0,4.285715,2,21.42857,2
0,4,2,8,2
0,0,2,10,2
0,3.050847,2,7.118644,1
0,3.103448,2,2.068965,1
0,0,2,6.31579,1
0,0,2,11,1
0,3.67347,1,13.46939,1
0,5.714286,1,18.57143,1
0,5,1,23.33333,1
0,0,0,0,0
0,2,2,8,1
0,0,3,5.084746,2
0,0,3,0,1
0,0,0,0,0
0,1,2,3,1
0,0,2,0,1
0,0,0,0,0
0,0,2,1,1
0,0,2,2,1
0,0,1,10,1
0,0,2,3.050847,1
0,1.034483,2,2.068965,1
0,0,2,2,1
0,0,2,1,1
0,2,2,1,1
0,1,2,2,1
0,0,2,0,1
0,0,2,2,1
0,3,3,13,1
0,1,2,2,1
0,1,2,4,1
0,0,2,3,1
0,1,2,3,1
0,3.396226,2,16.98113,1
0,2,2,13,2
0,0,2,14.23729,2
0,2,1,23,3
0,1,2,17,2
0,0,2,20.33898,2
0,1.090909,2,27.27273,2
0,2,1,19,1
0,1,2,20,1
0,4,2,14,1
0,0,2,17,1
0,0,1,11,2
0,0,2,5,1
0,3.396226,2,18.11321,1
0,3,2,16,2
0,0,2,5,2
0,0,2,0,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,2,1,1
0,0,2,0,1
0,0,2,3.103448,1
0,1.090909,3,12,1
101,14.63415,0,52.68293,0
112,8.421053,0,67.36842,0
111,3.050847,0,67.11864,0
108,3,0,93,0
110,9.333334,0,85.33334,0
114,15.65217,0,44.34783,0
113,14,0,58,0
109,3.67347,0,55.10204,0
110,6.923077,0,68.07693,0
113,2.5,0,72.5,0
114,21.53846,0,95.38461,0
112,18,0,106,0
113,4.705883,0,82.35294,0
114,12.97297,0,81.08109,0
109,6.792453,0,73.5849,0
108,7.118644,0,96.61017,0
106,8.727272,0,65.45454,0
108,3.529412,0,60,0
105,0,0,43.01887,0
0,0,1,39.18367,1
95,1.034483,0,60,0
0,5.454545,2,37.09091,3
0,0,2,32,3
0,1,2,29,2
0,2,2,23,2
0,0,1,9,2
0,1,2,7,3
0,0,1,10.43478,1
0,0,1,36.92308,1
0,0,2,28.88889,2
0,0,1,23,1
0,0,2,27.36842,3
0,1.090909,1,39.27272,2
0,7.241379,1,37.24138,2
0,5.217391,1,52.17391,2
0,1.395349,1,40.46512,2
0,2.5,1,46.25,2
0,0,2,54,2
0,1,2,21,2
0,1.111111,2,23.33333,1
0,2.352941,2,28.23529,2
0,2.105263,2,22.10526,2
0,0,2,19.32203,2
0,3,1,18,2
0,4,1,21,2
0,0,2,14,1
0,2.142857,2,34.28572,1
0,4.528302,2,32.83019,3
0,4.444445,2,4.444445,3
0,3.157895,2,15.78947,2
0,1.016949,2,21.35593,2
0,2.033898,2,28.47458,3
0,5.660378,2,37.35849,1
0,3.333333,2,40,2
0,2,2,31,1
