cadence,eyeMoveRout,focus,blink,sleepy
114,27.93104,0,60,0
115,34.57627,0,45.76271,0
110,18.94737,0,45.26316,0
94,4.137931,0,27.93104,0
0,1,1,24,1
0,1.071429,1,16.07143,1
0,1.090909,2,28.36364,1
0,3.333333,1,17.77778,1
0,2.105263,1,24.21053,1
0,4.210526,1,16.84211,1
0,0,1,15.78947,1
0,1.071429,1,16.07143,1
118,18.26087,0,20.86957,0
111,15,0,49.09091,0
99,13.54839,0,38.70967,0
0,16.15385,0,36.92308,0
0,7.142857,1,32.85714,1
0,8.571429,1,30.61224,1
0,1.538462,1,23.07692,1
0,2.857143,1,20,2
0,1.304348,1,23.47826,2
0,2.5,1,20,1
0,6,2,19.2,1
0,0,2,25,1
0,3.6,2,20.4,1
0,1.363636,1,20.45455,1
0,1.333333,1,22.66667,1
0,0,1,19.45946,1
0,1.363636,1,25.90909,1
0,3.75,1,23.75,1
0,2.142857,1,4.285715,1
0,3.636364,0,14.54545,0
0,3.870968,0,13.54839,0
0,5.714286,0,22.85714,0
0,1.714286,0,18.85714,0
0,0,0,23.07692,0
0,6.122449,1,25.71429,2
0,2.790698,1,29.30233,1
0,8,1,30.66667,2
0,2.5,1,20,2
0,14.21053,1,28.42105,2
0,2.142857,1,22.5,1
0,1.304348,1,30,2
0,5.714286,1,24.28572,2
0,7.826087,1,41.73913,3
0,3,1,19.5,2
0,8,1,34.66667,2
0,8.181818,1,21.81818,3
0,8.372093,1,33.48837,3
0,2.553191,1,20.42553,2
0,2.666667,1,18.66667,2
0,1.463415,1,19.02439,3
0,11.16279,1,26.51163,1
0,1.395349,1,23.72093,2
0,1.22449,1,14.69388,1
0,0,1,39.42857,1
0,3.157895,0,30,0
0,6.666667,1,26.66667,1
0,0,1,28.42105,1
0,1.463415,1,19.02439,1
0,4.444445,1,37.77778,3
0,2.727273,1,15,1
0,0,1,20,1
0,1.22449,1,23.26531,2
0,1.304348,1,22.17391,2
0,4,1,26.66667,1
0,1.25,1,26.25,2
0,1.363636,1,25.90909,2
0,3.428571,1,18.85714,2
0,6.25,1,28.75,2
0,2.553191,1,38.29787,3
0,2.142857,2,33.21428,3
0,8.4,2,24,2
0,5.714286,1,30,2
0,4.897959,1,41.63266,2
0,6.31579,1,41.05263,3
0,1.132076,2,20.37736,3
0,1.25,1,21.25,2
0,1.2,2,22.8,3
0,2.666667,1,28,2
0,7.826087,1,27.3913,2
0,0,2,21.81818,2
0,0,1,29.30233,2
0,6.666667,1,20,2
0,4.705883,2,28.23529,2
0,8.108108,2,25.94595,2
0,2.181818,1,12,2
0,4.615385,2,24.23077,2
0,5.769231,1,20.76923,2
0,5.714286,1,25.71429,3
0,0,1,26.08696,2
0,3.6,2,26.4,2
0,9.411765,2,20,2
0,2.181818,2,29.45455,2
0,5.555555,2,26.66667,2
0,5.294118,2,31.76471,2
0,3.6,2,27.6,2
0,12,1,29.33333,2
0,1.176471,2,31.76471,2
0,1.176471,2,29.41176,2
0,0,1,19.65517,2
0,2.5,1,28.75,2
0,3.67347,1,29.38776,2
0,5.454545,2,32.72727,3
0,13.33333,2,43.33333,2
0,4.285715,2,25.71429,3
0,9.818181,2,30.54545,3
0,10.52632,2,32.63158,3
0,3.829787,1,33.19149,2
0,9.767442,1,15.34884,2
0,3.829787,1,21.70213,2
0,0,1,25,2
0,2.105263,2,25.26316,2
0,4.528302,2,24.90566,1
0,3.272727,1,20.72727,2
0,2.181818,1,21.81818,2
0,3.67347,1,33.06122,2
0,12.22222,1,31.11111,2
0,2.44898,1,18.36735,2
0,1.176471,2,32.94118,2
0,1.333333,1,24,2
0,4.705883,2,34.11765,3
0,7.826087,1,45.65217,3
0,3.157895,2,38.94737,3
0,6.206897,1,19.65517,3
0,4.137931,2,30,3
0,5.357143,2,13.92857,3
0,3.913043,1,36.52174,3
0,4.705883,2,38.82353,3
0,5.660378,2,36.22642,3
0,13.17073,1,23.41463,3
0,1.304348,1,36.52174,2
0,0,2,28.92857,1
0,1.034483,1,23.7931,2
0,1.764706,1,24.70588,2
0,13.33333,0,20,0
0,0,1,46.04651,2
0,5,1,23.75,2
0,2.608696,1,28.69565,2
0,0,2,27.05882,2
0,7.2,2,20.4,2
0,0,2,31.15385,2
0,0,2,19.65517,2
0,2.44898,1,20.81633,2
0,2.105263,2,23.15789,2
0,1.153846,2,28.84615,2
0,1.153846,2,40.38462,3
0,1.034483,1,21.72414,2
0,1.153846,1,15,2
0,7.894737,1,28.42105,2
0,4.8,2,24,2
0,5.106383,1,22.97872,2
0,4.615385,2,41.53846,2
0,4.285715,2,33.21428,3
0,3.461539,2,35.76923,3
0,5.357143,2,24.64286,2
0,1.621622,2,43.78378,3
0,15.78947,0,30,0
0,3.243243,0,38.91892,0
0,5.357143,2,40.71428,3
0,3.103448,2,17.58621,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
